,Track name,Artists,Album Name,Album ID,Track ID,Popularity,Release date,Duration (ms),Explicit,External urls,Danceability,Energy,Key,Loudness,Speechiness,Mode,Acousticness,Instrumentalness,Liveness,Valence,Tempo
10,Shesh Gaan,Aurthohin,Aushomapto I,1oLJBBO1W7CflrMwvnlGQ3,7bHP7xi24mxZdt7W9CmLJi,0,2008-10-07,253236,False,https://open.spotify.com/track/7bHP7xi24mxZdt7W9CmLJi,0.604,0.422,0,-12.383,0.0567,0,0.369,0.00114,0.57,0.379,157.397
11,Aushomapto,Aurthohin,Aushomapto I,1oLJBBO1W7CflrMwvnlGQ3,1t8ErsTI9ffi0OVbp6FBiE,0,2008-10-07,299395,False,https://open.spotify.com/track/1t8ErsTI9ffi0OVbp6FBiE,0.516,0.51,8,-9.785,0.0356,1,0.00643,2.4e-06,0.195,0.201,76.996
12,Jodi Konodin,Aurthohin,Aushomapto I,1oLJBBO1W7CflrMwvnlGQ3,15ByBJjznH04IwLUoyFoiV,0,2008-10-07,349184,False,https://open.spotify.com/track/15ByBJjznH04IwLUoyFoiV,0.473,0.281,1,-12.122,0.0341,1,0.86,7.24e-06,0.0966,0.437,139.87
13,Bhulbona Tomake,Miles,Prottoy,2IXYVSLOAOA2wHjySzIDHa,3Sl13Df9v6xQ2clVyIVRr6,0,1996-06-12,336640,False,https://open.spotify.com/track/3Sl13Df9v6xQ2clVyIVRr6,0.328,0.559,9,-9.554,0.0396,0,0.801,3.93e-05,0.142,0.462,200.244
14,Priyotoma Megh,Miles,Proticchobi,7IqZOI5mChBdKkHl8neOHA,7eSJyDtMREOTdFuhjGF4p3,0,2015-07-24,296477,False,https://open.spotify.com/track/7eSJyDtMREOTdFuhjGF4p3,0.7,0.878,5,-4.09,0.0451,0,0.317,0.0,0.166,0.926,121.956
15,Phiriye Dao,Miles,Prottasha,3TwImFij78onxAOATksTrP,2v2zA3zGRAGGIcqvBBFMjZ,0,1996-06-17,293227,False,https://open.spotify.com/track/2v2zA3zGRAGGIcqvBBFMjZ,0.672,0.884,5,-8.534,0.0493,0,0.0817,5.94e-06,0.0389,0.824,127.296
16,Aro Ekber,Fossils,Fossils,5Il3OBfF2vxUbJXnRS4fzj,1cUq9SX7nQL1u0kKyhT7lX,50,2001,404246,False,https://open.spotify.com/track/1cUq9SX7nQL1u0kKyhT7lX,0.387,0.475,3,-12.249,0.0341,1,0.0734,0.000527,0.044,0.157,137.129
17,Khnoro Aamar Fossil,Fossils,Fossils 4,17BB4bxdlP3FvnX8TyqhqB,3upIaTAwzeD5ijPJe44ceD,48,2014,332403,False,https://open.spotify.com/track/3upIaTAwzeD5ijPJe44ceD,0.403,0.77,8,-6.787,0.0434,0,0.195,0.0,0.151,0.428,140.616
18,Phire Chaulo,Fossils,"Fossils, Vol. 3",1T3bBE08l87CaqBOMVYSkk,5jypnTscPNPXlioX2nHBg6,39,2009,447426,False,https://open.spotify.com/track/5jypnTscPNPXlioX2nHBg6,0.444,0.488,11,-8.123,0.029,0,0.163,0.0,0.599,0.346,146.272
19,Hansnuhana,Fossils,Fossils,5Il3OBfF2vxUbJXnRS4fzj,5fIWOnufnkAtDp9SDqRMD3,48,2001,294323,False,https://open.spotify.com/track/5fIWOnufnkAtDp9SDqRMD3,0.528,0.427,4,-12.304,0.0548,1,0.27,2.18e-05,0.105,0.307,133.127
20,Dewali Pee,Fossils,Fossils 6,1sFrU8XsFYdoK3MqlsqYxl,1oTgYilS1pUddYVXmP7cFN,25,2019-05-28,600418,False,https://open.spotify.com/track/1oTgYilS1pUddYVXmP7cFN,0.48,0.661,11,-9.032,0.0458,0,0.0561,1.96e-06,0.319,0.217,143.879
21,Jhor,Rupam Islam,Aami,04vZ0N6RvJLxlDuhEzRCwt,0J5VEZb8QlRnYnfdTbYZPR,17,2020-04-21,269189,False,https://open.spotify.com/track/0J5VEZb8QlRnYnfdTbYZPR,0.558,0.433,7,-9.851,0.0353,1,0.703,8.2e-06,0.0942,0.237,143.858
22,Chaowar Durotwo,Rupam Islam,Aami,04vZ0N6RvJLxlDuhEzRCwt,6Sc91m8gJWsS0Rm8aC4epf,25,2020-04-21,291496,False,https://open.spotify.com/track/6Sc91m8gJWsS0Rm8aC4epf,0.612,0.261,4,-14.551,0.052,1,0.896,0.0,0.0944,0.307,138.057
23,Laal Golaap - Mone Porey Kichu Ghotona Kichu Chithhi Lekha Tomaar,Rupam Islam,Na Hanyate - Rupam Islam,0TYla9WKVmQDIwME9DYGho,09HXKoNh67pydLvLdIuyNG,16,2010-09-01,212933,False,https://open.spotify.com/track/09HXKoNh67pydLvLdIuyNG,0.629,0.543,7,-8.976,0.0331,1,0.603,4.82e-06,0.0862,0.431,138.026
24,Niskraman,Fossils,Fossils,5Il3OBfF2vxUbJXnRS4fzj,7ryRRCjKZLcBb9mBvDrjzb,27,2001,382016,False,https://open.spotify.com/track/7ryRRCjKZLcBb9mBvDrjzb,0.536,0.546,4,-10.147,0.0305,1,0.328,0.00163,0.312,0.242,122.029
25,Aami Jaai,Rupam Islam,Aami,04vZ0N6RvJLxlDuhEzRCwt,5u4gzQCvarxNaXNDjNoXrE,33,2020-04-21,582804,False,https://open.spotify.com/track/5u4gzQCvarxNaXNDjNoXrE,0.524,0.357,7,-10.493,0.0344,1,0.681,0.0,0.0916,0.234,140.168
26,Janla,Fossils,Fossils 5,4jyoGUo9vMVj4ipoQuSozh,5rpxrUk6JTqLi7EYMKpB6C,37,2017-12-08,316756,False,https://open.spotify.com/track/5rpxrUk6JTqLi7EYMKpB6C,0.66,0.52,4,-9.183,0.0309,0,0.772,0.00248,0.111,0.435,89.997
27,Ekla Ghor,Fossils,Fossils,5Il3OBfF2vxUbJXnRS4fzj,482EWxlRDv7Bt57tVulXJ5,48,2001,387319,False,https://open.spotify.com/track/482EWxlRDv7Bt57tVulXJ5,0.666,0.527,9,-10.85,0.0307,0,0.238,3.06e-05,0.327,0.283,138.038
28,Nemesis,Fossils,Fossils,5Il3OBfF2vxUbJXnRS4fzj,4R203W90Sw4UBhtVMOtBKw,35,2001,358715,False,https://open.spotify.com/track/4R203W90Sw4UBhtVMOtBKw,0.62,0.64,5,-10.279,0.0399,0,0.0545,4.84e-05,0.1,0.405,113.008
29,Dekho Manashi,Fossils,Fossils,5Il3OBfF2vxUbJXnRS4fzj,6zfWbuo45Z7eQLS54NIk0i,35,2001,449934,False,https://open.spotify.com/track/6zfWbuo45Z7eQLS54NIk0i,0.389,0.428,2,-10.672,0.0348,0,0.251,3.21e-05,0.103,0.211,116.5
30,Bishakto Manush,Fossils,Fossils,5Il3OBfF2vxUbJXnRS4fzj,4XOevOLI1X5MDcd2UIo6KZ,46,2001,267469,False,https://open.spotify.com/track/4XOevOLI1X5MDcd2UIo6KZ,0.393,0.639,5,-10.671,0.0367,0,0.187,2.12e-06,0.366,0.335,136.551
31,Keno Karle,Fossils,"Fossils, Vol. 2",5xUQkYBbkLhCfwxi9z46Rp,2ahgiL1Ok30MbkZOqIHqeX,41,2004,412030,False,https://open.spotify.com/track/2ahgiL1Ok30MbkZOqIHqeX,0.587,0.525,4,-4.899,0.0276,0,0.552,0.0,0.125,0.152,72.516
32,Harte Parina,"Fossils,Cactus,Lakkhichhara","Band-E-Matoram, Vol. 1",5XvuHhSVxVIi7CIl5pceRL,4NjjCElevA6onzQDTnRMf5,26,2005,387658,False,https://open.spotify.com/track/4NjjCElevA6onzQDTnRMf5,0.522,0.752,4,-8.758,0.0481,0,0.14,3.7e-05,0.0683,0.608,146.027
33,Sono Aamra Ki,Fossils,Mission - F,3KGN82FHTigFTibr7nrDkm,52LsSuLHAvV7oB32Sr2XYR,38,2005,270055,False,https://open.spotify.com/track/52LsSuLHAvV7oB32Sr2XYR,0.761,0.808,0,-4.255,0.0335,1,0.226,2.06e-06,0.133,0.86,105.283
34,Hari Na,Fossils,Mission - F,3KGN82FHTigFTibr7nrDkm,6IuXrFFmZas4oQiBBWD3pg,21,2005,241999,False,https://open.spotify.com/track/6IuXrFFmZas4oQiBBWD3pg,0.523,0.44,9,-8.951,0.0377,0,0.5,0.0,0.218,0.319,143.987
35,Eka Naow,Fossils,Mission - F,3KGN82FHTigFTibr7nrDkm,0wbj4hRSX12Hjl2q1UzO43,13,2005,458476,False,https://open.spotify.com/track/0wbj4hRSX12Hjl2q1UzO43,0.531,0.871,9,-3.083,0.0446,0,0.283,0.0,0.0914,0.303,132.98
36,Halud Pakhi,Cactus,Naktala Udayan Sangha,0fGCp4zV2nFpC1GBTR0397,6ynoPT9xtcKwWO8qjWjzEG,39,2009-09-01,357587,False,https://open.spotify.com/track/6ynoPT9xtcKwWO8qjWjzEG,0.563,0.259,2,-11.688,0.0252,1,0.624,0.0,0.292,0.243,90.06
